iteration,train_loss,test_acc,consensus_error,comm_volume
0,0.0,36.89,0.030838152393698692,5762
1,0.0,38.47000000000001,0.00651934091001749,11524
2,0.0,39.71,0.0016523981466889381,17286
3,0.0,40.410000000000004,0.000450126884970814,23048
4,0.0,41.33,0.0001290194340981543,28810
5,0.0,41.85000000000001,4.3347889004508033e-05,34572
6,0.0,43.029999999999994,1.8762884792522527e-05,40334
7,0.0,44.37,1.3803573892801069e-05,46096
8,0.0,46.199999999999996,1.0870082405745052e-05,51858
9,0.0,47.480000000000004,9.82886012934614e-06,57620
10,0.0,48.9,9.202215551340487e-06,63382
11,0.0,50.32,9.765500180947129e-06,69144
12,0.0,52.07000000000001,8.524812983523589e-06,74906
13,0.0,53.84000000000001,9.177048013953026e-06,80668
14,0.0,55.71999999999999,8.533352229278535e-06,86430
15,0.0,57.48,1.0310874131391756e-05,92192
16,0.0,59.67999999999999,8.04302908363752e-06,97954
17,0.0,61.44,8.10619349067565e-06,103716
18,0.0,63.6,8.146405889419839e-06,109478
19,0.0,65.78999999999999,9.637984476285055e-06,115240
20,0.0,68.26,8.24460312287556e-06,121002
21,0.0,70.56,7.480180101993028e-06,126764
22,0.0,72.92,6.919072802702431e-06,132526
23,0.0,75.25999999999999,8.898719897842966e-06,138288
24,0.0,77.08000000000001,7.405770247714827e-06,144050
25,0.0,79.12,6.82631889503682e-06,149812
26,0.0,80.55999999999999,6.398145160346758e-06,155574
27,0.0,81.79,8.370889190700836e-06,161336
28,0.0,82.87,6.289140401349869e-06,167098
29,0.0,84.32999999999998,6.6331376729067415e-06,172860
30,0.0,85.21000000000001,5.979646630294155e-06,178622
31,0.0,86.61,7.353789442277048e-06,184384
32,0.0,87.42,5.918323040532414e-06,190146
33,0.0,88.36000000000001,5.916042027820367e-06,195908
34,0.0,89.30000000000001,5.377552042773459e-06,201670
35,0.0,89.95,6.768438652215991e-06,207432
36,0.0,90.56,5.031015007261885e-06,213194
37,0.0,91.04,5.439314008981455e-06,218956
38,0.0,91.50000000000003,5.018756382924039e-06,224718
39,0.0,92.03,6.1337304941844195e-06,230480
40,0.0,92.38000000000001,4.667629582399968e-06,236242
41,0.0,92.87,4.861736670136452e-06,242004
42,0.0,93.16000000000001,4.739593350677751e-06,247766
43,0.0,93.36000000000001,5.848716682521626e-06,253528
44,0.0,93.61,4.696971700468566e-06,259290
45,0.0,93.67,4.359943886811379e-06,265052
46,0.0,93.75000000000003,4.37850940215867e-06,270814
47,0.0,93.80000000000001,5.220935690886108e-06,276576
48,0.0,93.82999999999998,4.206864559819223e-06,282338
49,0.0,93.91999999999999,4.0090135371428914e-06,288100
50,0.0,93.99999999999999,3.759533910852042e-06,293862
51,0.0,94.10999999999999,5.40234532309114e-06,299624
52,0.0,94.18,3.911233761755284e-06,305386
53,0.0,94.26999999999998,3.5280088468425674e-06,311148
54,0.0,94.36999999999998,3.959277364629088e-06,316910
55,0.0,94.39999999999998,4.565371455100831e-06,322672
56,0.0,94.44999999999999,3.6210592497809557e-06,328434
57,0.0,94.5,3.2810457923915237e-06,334196
58,0.0,94.5,3.461424512352096e-06,339958
59,0.0,94.5,4.348951279098401e-06,345720
60,0.0,94.5,3.5031421248277184e-06,351482
61,0.0,94.5,2.952809154521674e-06,357244
62,0.0,94.5,3.1422398478753166e-06,363006
63,0.0,94.5,3.715828597705695e-06,368768
64,0.0,94.5,3.029859271919122e-06,374530
65,0.0,94.5,2.8230456337041687e-06,380292
66,0.0,94.5,2.9582547540485393e-06,386054
67,0.0,94.5,3.7204531508905347e-06,391816
68,0.0,94.5,3.14931321554468e-06,397578
69,0.0,94.5,2.8017943805025425e-06,403340
70,0.0,94.5,2.597174670881941e-06,409102
71,0.0,94.5,3.4078536828019423e-06,414864
72,0.0,94.5,2.5913909666996915e-06,420626
73,0.0,94.5,2.5733399979799287e-06,426388
74,0.0,94.5,2.4465471142320894e-06,432150
75,0.0,94.5,3.296220256743254e-06,437912
76,0.0,94.5,2.4100786504277494e-06,443674
77,0.0,94.5,2.3022091681923484e-06,449436
78,0.0,94.5,2.4972989649540978e-06,455198
79,0.0,94.5,3.2535360787733225e-06,460960
80,0.0,94.5,2.2948693185753655e-06,466722
81,0.0,94.5,2.261671852465952e-06,472484
82,0.0,94.5,2.4057055725279497e-06,478246
83,0.0,94.5,2.8633669444388943e-06,484008
84,0.0,94.5,2.018294026129297e-06,489770
85,0.0,94.5,2.0064596810698276e-06,495532
86,0.0,94.5,2.0202789983159164e-06,501294
87,0.0,94.5,2.620834266053862e-06,507056
88,0.0,94.5,2.1300236312526977e-06,512818
89,0.0,94.5,1.7481243048678152e-06,518580
90,0.0,94.5,2.0495149328780826e-06,524342
91,0.0,94.5,2.5315625862276647e-06,530104
92,0.0,94.5,1.9769743175857e-06,535866
93,0.0,94.5,1.8374327055425965e-06,541628
94,0.0,94.5,1.7609130509299575e-06,547390
95,0.0,94.5,2.1136524992471095e-06,553152
96,0.0,94.5,1.6979213341983268e-06,558914
97,0.0,94.5,1.818684495447087e-06,564676
98,0.0,94.5,1.6425619833171368e-06,570438
99,0.0,94.5,1.971542587853037e-06,576200
