iteration,train_loss,test_acc,consensus_error,comm_volume
0,0.0,52.29,0.03158199042081833,1978
1,0.0,67.69,0.006827465258538723,3956
2,0.0,80.28,0.0020768726244568825,5934
3,0.0,89.22999999999999,0.0009739187662489712,7912
4,0.0,92.99,0.0004953383468091488,9890
5,0.0,94.1,0.00035959266824647784,11868
6,0.0,94.45,0.00029476950294338167,13846
7,0.0,94.5,0.00038467635749839246,15824
8,0.0,94.5,0.00018830243789125234,17802
9,0.0,94.5,0.00017753176507540047,19780
10,0.0,94.5,0.00015640546916984022,21758
11,0.0,94.5,0.0001620016701053828,23736
12,0.0,94.5,0.00011344558151904494,25714
13,0.0,94.5,9.975714783649892e-05,27692
14,0.0,94.5,9.518607112113386e-05,29670
15,0.0,94.5,0.00011583772720769048,31648
16,0.0,94.5,6.967810622882098e-05,33626
17,0.0,94.5,6.258646317292005e-05,35604
18,0.0,94.5,6.931318785063922e-05,37582
19,0.0,94.5,0.00022335388348437846,39560
20,0.0,94.5,5.914045686949976e-05,41538
21,0.0,94.5,4.262942456989549e-05,43516
22,0.0,94.5,4.883338260697201e-05,45494
23,0.0,94.5,9.85938822850585e-05,47472
24,0.0,94.5,5.1783274102490395e-05,49450
25,0.0,94.5,4.745272599393502e-05,51428
26,0.0,94.5,4.260233254171908e-05,53406
27,0.0,94.5,0.00012834837252739817,55384
28,0.0,94.5,4.490065111895092e-05,57362
29,0.0,94.5,3.708587246364914e-05,59340
30,0.0,94.5,2.6696749046095647e-05,61318
31,0.0,94.5,7.810255920048803e-05,63296
32,0.0,94.5,3.3824690035544336e-05,65274
33,0.0,94.5,2.9031525627942756e-05,67252
34,0.0,94.5,2.4813780328258872e-05,69230
35,0.0,94.5,0.0001539115619380027,71208
36,0.0,94.5,5.978869739919901e-05,73186
37,0.0,94.5,2.4571121684857644e-05,75164
38,0.0,94.5,1.9154234905727208e-05,77142
39,0.0,94.5,4.851078483625315e-05,79120
40,0.0,94.5,1.9942846847698092e-05,81098
41,0.0,94.5,2.3542132112197578e-05,83076
42,0.0,94.5,2.3930484530865215e-05,85054
43,0.0,94.5,4.194808934698813e-05,87032
44,0.0,94.5,2.0034134649904445e-05,89010
45,0.0,94.5,1.7348149413010105e-05,90988
46,0.0,94.5,1.3672518434759695e-05,92966
47,0.0,94.5,0.00011157067638123408,94944
48,0.0,94.5,2.2205729692359455e-05,96922
49,0.0,94.5,1.9575232727220282e-05,98900
50,0.0,94.5,1.5918963981675915e-05,100878
51,0.0,94.5,9.61144469329156e-05,102856
52,0.0,94.5,2.0487392248469405e-05,104834
53,0.0,94.5,1.496737513662083e-05,106812
54,0.0,94.5,1.3532972843677271e-05,108790
55,0.0,94.5,0.00012302983668632805,110768
56,0.0,94.5,1.8251083020004444e-05,112746
57,0.0,94.5,1.8376611478743143e-05,114724
58,0.0,94.5,2.5808738428168e-05,116702
59,0.0,94.5,9.067672363016754e-05,118680
60,0.0,94.5,2.7205314836464822e-05,120658
61,0.0,94.5,1.3814194062433671e-05,122636
62,0.0,94.5,1.1530514711921569e-05,124614
63,0.0,94.5,9.000457794172689e-05,126592
64,0.0,94.5,1.9118653654004447e-05,128570
65,0.0,94.5,9.4005954451859e-06,130548
66,0.0,94.5,1.5219200577121228e-05,132526
67,0.0,94.5,4.4833632273366675e-05,134504
68,0.0,94.5,1.1792100849561393e-05,136482
69,0.0,94.5,1.2847989637521096e-05,138460
70,0.0,94.5,1.526721825939603e-05,140438
71,0.0,94.5,2.115400457114447e-05,142416
72,0.0,94.5,1.2254397915967274e-05,144394
73,0.0,94.5,9.202072760672309e-06,146372
74,0.0,94.5,9.614675946068019e-06,148350
75,0.0,94.5,4.6638542698929086e-05,150328
76,0.0,94.5,1.1306285159662366e-05,152306
77,0.0,94.5,8.76877675182186e-06,154284
78,0.0,94.5,9.682802556199022e-06,156262
79,0.0,94.5,3.359291440574452e-05,158240
80,0.0,94.5,1.2342937225184869e-05,160218
81,0.0,94.5,1.5001339306763839e-05,162196
82,0.0,94.5,8.792669177637435e-06,164174
83,0.0,94.5,9.513446275377646e-05,166152
84,0.0,94.5,1.4070204997551627e-05,168130
85,0.0,94.5,1.1809139323304407e-05,170108
86,0.0,94.5,1.553528636577539e-05,172086
87,0.0,94.5,6.600124470423907e-05,174064
88,0.0,94.5,1.368785433442099e-05,176042
89,0.0,94.5,8.313926628034096e-06,178020
90,0.0,94.5,1.5542511391686276e-05,179998
91,0.0,94.5,3.22450723615475e-05,181976
92,0.0,94.5,1.368748507957207e-05,183954
93,0.0,94.5,1.1816859114333056e-05,185932
94,0.0,94.5,1.2442741535778623e-05,187910
95,0.0,94.5,6.077206853660755e-05,189888
96,0.0,94.5,1.3149125152267516e-05,191866
97,0.0,94.5,1.3654435861099046e-05,193844
98,0.0,94.5,1.0177177500736434e-05,195822
99,0.0,94.5,0.00010221403499599546,197800
