iteration,train_loss,test_mse,consensus_error,comm_volume
0,0.0,405.1985927224159,12.771931648254395,836
1,0.0,24121.111070513725,604.2451171875,1672
2,0.0,1595354.8219776154,40159.7890625,2508
3,0.0,107895864.09765625,2924045.25,3344
4,0.0,7144896696.353516,183709904.0,4180
5,0.0,472211770273.1875,12178969600.0,5016
6,0.0,32416330330145.0,843655544832.0,5852
7,0.0,2245947395691008.0,63477007777792.0,6688
8,0.0,1.466073198949376e+17,3889736057880576.0,7524
9,0.0,1.023717334321909e+19,2.7504200905444557e+17,8360
10,0.0,6.702791559297934e+20,1.8117170960841834e+19,9196
11,0.0,5.136915738171014e+22,1.5427765915125924e+21,10032
12,0.0,3.3680036411215714e+24,9.629881350740044e+22,10868
13,0.0,2.4531335175329887e+26,7.180045795475547e+24,11704
14,0.0,1.6670902488496267e+28,4.928954890165052e+26,12540
15,0.0,1.1522363776673685e+30,3.538692573548865e+28,13376
16,0.0,7.8729842505723935e+31,2.3818063069916286e+30,14212
17,0.0,5.246566762578565e+33,1.600769529538647e+32,15048
18,0.0,inf,1.192855377200642e+34,15884
19,0.0,inf,7.907503032175677e+35,16720
20,0.0,inf,inf,17556
21,0.0,inf,inf,18392
22,0.0,inf,inf,19228
23,0.0,inf,inf,20064
24,0.0,inf,inf,20900
25,0.0,inf,inf,21736
26,0.0,inf,inf,22572
27,0.0,inf,inf,23408
28,0.0,inf,inf,24244
29,0.0,inf,inf,25080
30,0.0,inf,inf,25916
31,0.0,inf,inf,26752
32,0.0,inf,inf,27588
33,0.0,inf,inf,28424
34,0.0,inf,inf,29260
35,0.0,inf,inf,30096
36,0.0,inf,inf,30932
37,0.0,inf,inf,31768
38,0.0,inf,inf,32604
39,0.0,inf,inf,33440
40,0.0,,,34276
41,0.0,,,35112
42,0.0,,,35948
43,0.0,,,36784
44,0.0,,,37620
45,0.0,,,38456
46,0.0,,,39292
47,0.0,,,40128
48,0.0,,,40964
49,0.0,,,41800
50,0.0,,,42636
51,0.0,,,43472
52,0.0,,,44308
53,0.0,,,45144
54,0.0,,,45980
55,0.0,,,46816
56,0.0,,,47652
57,0.0,,,48488
58,0.0,,,49324
59,0.0,,,50160
60,0.0,,,50996
61,0.0,,,51832
62,0.0,,,52668
63,0.0,,,53504
64,0.0,,,54340
65,0.0,,,55176
66,0.0,,,56012
67,0.0,,,56848
68,0.0,,,57684
69,0.0,,,58520
70,0.0,,,59356
71,0.0,,,60192
72,0.0,,,61028
73,0.0,,,61864
74,0.0,,,62700
75,0.0,,,63536
76,0.0,,,64372
77,0.0,,,65208
78,0.0,,,66044
79,0.0,,,66880
80,0.0,,,67716
81,0.0,,,68552
82,0.0,,,69388
83,0.0,,,70224
84,0.0,,,71060
85,0.0,,,71896
86,0.0,,,72732
87,0.0,,,73568
88,0.0,,,74404
89,0.0,,,75240
90,0.0,,,76076
91,0.0,,,76912
92,0.0,,,77748
93,0.0,,,78584
94,0.0,,,79420
95,0.0,,,80256
96,0.0,,,81092
97,0.0,,,81928
98,0.0,,,82764
99,0.0,,,83600
100,0.0,,,84436
101,0.0,,,85272
102,0.0,,,86108
103,0.0,,,86944
104,0.0,,,87780
105,0.0,,,88616
106,0.0,,,89452
107,0.0,,,90288
108,0.0,,,91124
109,0.0,,,91960
110,0.0,,,92796
111,0.0,,,93632
112,0.0,,,94468
113,0.0,,,95304
114,0.0,,,96140
115,0.0,,,96976
116,0.0,,,97812
117,0.0,,,98648
118,0.0,,,99484
119,0.0,,,100320
120,0.0,,,101156
121,0.0,,,101992
122,0.0,,,102828
123,0.0,,,103664
124,0.0,,,104500
125,0.0,,,105336
126,0.0,,,106172
127,0.0,,,107008
128,0.0,,,107844
129,0.0,,,108680
130,0.0,,,109516
131,0.0,,,110352
132,0.0,,,111188
133,0.0,,,112024
134,0.0,,,112860
135,0.0,,,113696
136,0.0,,,114532
137,0.0,,,115368
138,0.0,,,116204
139,0.0,,,117040
140,0.0,,,117876
141,0.0,,,118712
142,0.0,,,119548
143,0.0,,,120384
144,0.0,,,121220
145,0.0,,,122056
146,0.0,,,122892
147,0.0,,,123728
148,0.0,,,124564
149,0.0,,,125400
150,0.0,,,126236
151,0.0,,,127072
152,0.0,,,127908
153,0.0,,,128744
154,0.0,,,129580
155,0.0,,,130416
156,0.0,,,131252
157,0.0,,,132088
158,0.0,,,132924
159,0.0,,,133760
160,0.0,,,134596
161,0.0,,,135432
162,0.0,,,136268
163,0.0,,,137104
164,0.0,,,137940
165,0.0,,,138776
166,0.0,,,139612
167,0.0,,,140448
168,0.0,,,141284
169,0.0,,,142120
170,0.0,,,142956
171,0.0,,,143792
172,0.0,,,144628
173,0.0,,,145464
174,0.0,,,146300
175,0.0,,,147136
176,0.0,,,147972
177,0.0,,,148808
178,0.0,,,149644
179,0.0,,,150480
180,0.0,,,151316
181,0.0,,,152152
182,0.0,,,152988
183,0.0,,,153824
184,0.0,,,154660
185,0.0,,,155496
186,0.0,,,156332
187,0.0,,,157168
188,0.0,,,158004
189,0.0,,,158840
190,0.0,,,159676
191,0.0,,,160512
192,0.0,,,161348
193,0.0,,,162184
194,0.0,,,163020
195,0.0,,,163856
196,0.0,,,164692
197,0.0,,,165528
198,0.0,,,166364
199,0.0,,,167200
200,0.0,,,168036
201,0.0,,,168872
202,0.0,,,169708
203,0.0,,,170544
204,0.0,,,171380
205,0.0,,,172216
206,0.0,,,173052
207,0.0,,,173888
208,0.0,,,174724
209,0.0,,,175560
210,0.0,,,176396
211,0.0,,,177232
212,0.0,,,178068
213,0.0,,,178904
214,0.0,,,179740
215,0.0,,,180576
216,0.0,,,181412
217,0.0,,,182248
218,0.0,,,183084
219,0.0,,,183920
220,0.0,,,184756
221,0.0,,,185592
222,0.0,,,186428
223,0.0,,,187264
224,0.0,,,188100
225,0.0,,,188936
226,0.0,,,189772
227,0.0,,,190608
228,0.0,,,191444
229,0.0,,,192280
230,0.0,,,193116
231,0.0,,,193952
232,0.0,,,194788
233,0.0,,,195624
234,0.0,,,196460
235,0.0,,,197296
236,0.0,,,198132
237,0.0,,,198968
238,0.0,,,199804
239,0.0,,,200640
240,0.0,,,201476
241,0.0,,,202312
242,0.0,,,203148
243,0.0,,,203984
244,0.0,,,204820
245,0.0,,,205656
246,0.0,,,206492
247,0.0,,,207328
248,0.0,,,208164
249,0.0,,,209000
250,0.0,,,209836
251,0.0,,,210672
252,0.0,,,211508
253,0.0,,,212344
254,0.0,,,213180
255,0.0,,,214016
256,0.0,,,214852
257,0.0,,,215688
258,0.0,,,216524
259,0.0,,,217360
260,0.0,,,218196
261,0.0,,,219032
262,0.0,,,219868
263,0.0,,,220704
264,0.0,,,221540
265,0.0,,,222376
266,0.0,,,223212
267,0.0,,,224048
268,0.0,,,224884
269,0.0,,,225720
270,0.0,,,226556
271,0.0,,,227392
272,0.0,,,228228
273,0.0,,,229064
274,0.0,,,229900
275,0.0,,,230736
276,0.0,,,231572
277,0.0,,,232408
278,0.0,,,233244
279,0.0,,,234080
280,0.0,,,234916
281,0.0,,,235752
282,0.0,,,236588
283,0.0,,,237424
284,0.0,,,238260
285,0.0,,,239096
286,0.0,,,239932
287,0.0,,,240768
288,0.0,,,241604
289,0.0,,,242440
290,0.0,,,243276
291,0.0,,,244112
292,0.0,,,244948
293,0.0,,,245784
294,0.0,,,246620
295,0.0,,,247456
296,0.0,,,248292
297,0.0,,,249128
298,0.0,,,249964
299,0.0,,,250800
300,0.0,,,251636
301,0.0,,,252472
302,0.0,,,253308
303,0.0,,,254144
304,0.0,,,254980
305,0.0,,,255816
306,0.0,,,256652
307,0.0,,,257488
308,0.0,,,258324
309,0.0,,,259160
310,0.0,,,259996
311,0.0,,,260832
312,0.0,,,261668
313,0.0,,,262504
314,0.0,,,263340
315,0.0,,,264176
316,0.0,,,265012
317,0.0,,,265848
318,0.0,,,266684
319,0.0,,,267520
320,0.0,,,268356
321,0.0,,,269192
322,0.0,,,270028
323,0.0,,,270864
324,0.0,,,271700
325,0.0,,,272536
326,0.0,,,273372
327,0.0,,,274208
328,0.0,,,275044
329,0.0,,,275880
330,0.0,,,276716
331,0.0,,,277552
332,0.0,,,278388
333,0.0,,,279224
334,0.0,,,280060
335,0.0,,,280896
336,0.0,,,281732
337,0.0,,,282568
338,0.0,,,283404
339,0.0,,,284240
340,0.0,,,285076
341,0.0,,,285912
342,0.0,,,286748
343,0.0,,,287584
344,0.0,,,288420
345,0.0,,,289256
346,0.0,,,290092
347,0.0,,,290928
348,0.0,,,291764
349,0.0,,,292600
350,0.0,,,293436
351,0.0,,,294272
352,0.0,,,295108
353,0.0,,,295944
354,0.0,,,296780
355,0.0,,,297616
356,0.0,,,298452
357,0.0,,,299288
358,0.0,,,300124
359,0.0,,,300960
360,0.0,,,301796
361,0.0,,,302632
362,0.0,,,303468
363,0.0,,,304304
364,0.0,,,305140
365,0.0,,,305976
366,0.0,,,306812
367,0.0,,,307648
368,0.0,,,308484
369,0.0,,,309320
370,0.0,,,310156
371,0.0,,,310992
372,0.0,,,311828
373,0.0,,,312664
374,0.0,,,313500
375,0.0,,,314336
376,0.0,,,315172
377,0.0,,,316008
378,0.0,,,316844
379,0.0,,,317680
380,0.0,,,318516
381,0.0,,,319352
382,0.0,,,320188
383,0.0,,,321024
384,0.0,,,321860
385,0.0,,,322696
386,0.0,,,323532
387,0.0,,,324368
388,0.0,,,325204
389,0.0,,,326040
390,0.0,,,326876
391,0.0,,,327712
392,0.0,,,328548
393,0.0,,,329384
394,0.0,,,330220
395,0.0,,,331056
396,0.0,,,331892
397,0.0,,,332728
398,0.0,,,333564
399,0.0,,,334400
400,0.0,,,335236
401,0.0,,,336072
402,0.0,,,336908
403,0.0,,,337744
404,0.0,,,338580
405,0.0,,,339416
406,0.0,,,340252
407,0.0,,,341088
408,0.0,,,341924
409,0.0,,,342760
410,0.0,,,343596
411,0.0,,,344432
412,0.0,,,345268
413,0.0,,,346104
414,0.0,,,346940
415,0.0,,,347776
416,0.0,,,348612
417,0.0,,,349448
418,0.0,,,350284
419,0.0,,,351120
420,0.0,,,351956
421,0.0,,,352792
422,0.0,,,353628
423,0.0,,,354464
424,0.0,,,355300
425,0.0,,,356136
426,0.0,,,356972
427,0.0,,,357808
428,0.0,,,358644
429,0.0,,,359480
430,0.0,,,360316
431,0.0,,,361152
432,0.0,,,361988
433,0.0,,,362824
434,0.0,,,363660
435,0.0,,,364496
436,0.0,,,365332
437,0.0,,,366168
438,0.0,,,367004
439,0.0,,,367840
440,0.0,,,368676
441,0.0,,,369512
442,0.0,,,370348
443,0.0,,,371184
444,0.0,,,372020
445,0.0,,,372856
446,0.0,,,373692
447,0.0,,,374528
448,0.0,,,375364
449,0.0,,,376200
450,0.0,,,377036
451,0.0,,,377872
452,0.0,,,378708
453,0.0,,,379544
454,0.0,,,380380
455,0.0,,,381216
456,0.0,,,382052
457,0.0,,,382888
458,0.0,,,383724
459,0.0,,,384560
460,0.0,,,385396
461,0.0,,,386232
462,0.0,,,387068
463,0.0,,,387904
464,0.0,,,388740
465,0.0,,,389576
466,0.0,,,390412
467,0.0,,,391248
468,0.0,,,392084
469,0.0,,,392920
470,0.0,,,393756
471,0.0,,,394592
472,0.0,,,395428
473,0.0,,,396264
474,0.0,,,397100
475,0.0,,,397936
476,0.0,,,398772
477,0.0,,,399608
478,0.0,,,400444
479,0.0,,,401280
480,0.0,,,402116
481,0.0,,,402952
482,0.0,,,403788
483,0.0,,,404624
484,0.0,,,405460
485,0.0,,,406296
486,0.0,,,407132
487,0.0,,,407968
488,0.0,,,408804
489,0.0,,,409640
490,0.0,,,410476
491,0.0,,,411312
492,0.0,,,412148
493,0.0,,,412984
494,0.0,,,413820
495,0.0,,,414656
496,0.0,,,415492
497,0.0,,,416328
498,0.0,,,417164
499,0.0,,,418000
500,0.0,,,418836
501,0.0,,,419672
502,0.0,,,420508
503,0.0,,,421344
504,0.0,,,422180
505,0.0,,,423016
506,0.0,,,423852
507,0.0,,,424688
508,0.0,,,425524
509,0.0,,,426360
510,0.0,,,427196
511,0.0,,,428032
512,0.0,,,428868
513,0.0,,,429704
514,0.0,,,430540
515,0.0,,,431376
516,0.0,,,432212
517,0.0,,,433048
518,0.0,,,433884
519,0.0,,,434720
520,0.0,,,435556
521,0.0,,,436392
522,0.0,,,437228
523,0.0,,,438064
524,0.0,,,438900
525,0.0,,,439736
526,0.0,,,440572
527,0.0,,,441408
528,0.0,,,442244
529,0.0,,,443080
530,0.0,,,443916
531,0.0,,,444752
532,0.0,,,445588
533,0.0,,,446424
534,0.0,,,447260
535,0.0,,,448096
536,0.0,,,448932
537,0.0,,,449768
538,0.0,,,450604
539,0.0,,,451440
540,0.0,,,452276
541,0.0,,,453112
542,0.0,,,453948
543,0.0,,,454784
544,0.0,,,455620
545,0.0,,,456456
546,0.0,,,457292
547,0.0,,,458128
548,0.0,,,458964
549,0.0,,,459800
550,0.0,,,460636
551,0.0,,,461472
552,0.0,,,462308
553,0.0,,,463144
554,0.0,,,463980
555,0.0,,,464816
556,0.0,,,465652
557,0.0,,,466488
558,0.0,,,467324
559,0.0,,,468160
560,0.0,,,468996
