iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
0,0.0,25.386672973632812,5603220,10.175000000000004,9.9,12.8,140258380.0
1,0.0,15.151387214660645,11206440,10.175000000000004,9.9,12.8,140258380.0
2,0.0,10.281193733215332,16809660,10.175000000000004,9.9,12.8,140258380.0
3,0.0,7.484986782073975,22412880,10.175000000000004,9.9,12.8,140258380.0
4,0.0,5.720821857452393,28016100,10.175000000000004,9.9,12.8,140258380.0
5,0.0,1.1059232950210571,34775540,10.175000000000004,9.9,12.8,140258380.0
6,0.0,0.717807948589325,41534980,10.175000000000004,9.9,12.8,140258380.0
7,0.0,0.5443078875541687,48294420,10.175000000000004,9.9,12.8,140258380.0
8,0.0,0.42749032378196716,55053860,10.175000000000004,9.9,12.8,140258380.0
9,0.0,0.3398408889770508,61813300,10.175000000000004,9.9,12.8,140258380.0
10,0.0,0.1373501420021057,68305920,10.175000000000004,9.9,12.8,140258380.0
11,0.0,0.09330831468105316,74798540,10.175000000000004,9.9,12.8,140258380.0
12,0.0,0.06778650730848312,81291160,10.175000000000004,9.9,12.8,140258380.0
13,0.0,0.051081087440252304,87783780,10.175000000000004,9.9,12.8,140258380.0
14,0.0,0.039656948298215866,94276400,10.175000000000004,9.9,12.8,140258380.0
15,0.0,0.015258470550179482,100057500,10.175000000000004,9.9,12.8,140258380.0
16,0.0,0.012277830392122269,105838600,10.175000000000004,9.9,12.8,140258380.0
17,0.0,0.010288787074387074,111619700,10.175000000000004,9.9,12.8,140258380.0
18,0.0,0.008736426010727882,117400800,10.175000000000004,9.9,12.8,140258380.0
19,0.0,0.0074790241196751595,123181900,10.175000000000004,9.9,12.8,140258380.0
20,0.0,0.003982992842793465,128874060,10.175000000000004,9.9,12.8,140258380.0
21,0.0,0.0028836186975240707,134566220,10.175000000000004,9.9,12.8,140258380.0
22,0.0,0.0021337338257580996,140258380,8.52,8.5,8.9,270555480.0
23,0.0,0.0016326643526554108,145950540,8.52,8.5,8.9,270555480.0
24,0.0,0.0012797770323231816,151642700,8.52,8.5,8.9,270555480.0
25,0.0,0.0008386022527702153,157156980,8.52,8.5,8.9,270555480.0
26,0.0,0.0006557668675668538,162671260,8.52,8.5,8.9,270555480.0
27,0.0,0.0005174392717890441,168185540,8.52,8.5,8.9,270555480.0
28,0.0,0.0004147333966102451,173699820,8.52,8.5,8.9,270555480.0
29,0.0,0.00034581104409880936,179214100,8.52,8.5,8.9,270555480.0
30,0.0,0.00018017458205576986,185084140,8.52,8.5,8.9,270555480.0
31,0.0,0.00013161817332729697,190954180,8.52,8.5,8.9,270555480.0
32,0.0,0.00011278004240011796,196824220,8.52,8.5,8.9,270555480.0
33,0.0,0.00010300627764081582,202694260,8.52,8.5,8.9,270555480.0
34,0.0,8.801881631370634e-05,208564300,8.52,8.5,8.9,270555480.0
35,0.0,6.717300857417285e-05,214078580,8.52,8.5,8.9,270555480.0
36,0.0,5.594050162471831e-05,219592860,8.52,8.5,8.9,270555480.0
37,0.0,5.8636484027374536e-05,225107140,8.52,8.5,8.9,270555480.0
38,0.0,5.416912608779967e-05,230621420,8.52,8.5,8.9,270555480.0
39,0.0,5.663911724695936e-05,236135700,8.52,8.5,8.9,270555480.0
40,0.0,3.613417720771395e-05,241916800,8.52,8.5,8.9,270555480.0
41,0.0,3.523181294440292e-05,247697900,8.52,8.5,8.9,270555480.0
42,0.0,3.285267302999273e-05,253479000,8.52,8.5,8.9,270555480.0
43,0.0,3.375488449819386e-05,259260100,8.52,8.5,8.9,270555480.0
44,0.0,3.4404070902382955e-05,265041200,8.52,8.5,8.9,270555480.0
45,0.0,2.5565866963006556e-05,270555480,8.934999999999999,8.5,17.2,393648440.0
46,0.0,2.7443378712632693e-05,276069760,8.934999999999999,8.5,17.2,393648440.0
47,0.0,3.851862857118249e-05,281584040,8.934999999999999,8.5,17.2,393648440.0
48,0.0,3.79101256839931e-05,287098320,8.934999999999999,8.5,17.2,393648440.0
49,0.0,3.94789531128481e-05,292612600,8.934999999999999,8.5,17.2,393648440.0
50,0.0,3.194586679455824e-05,298126880,8.934999999999999,8.5,17.2,393648440.0
51,0.0,3.1392100936500356e-05,303641160,8.934999999999999,8.5,17.2,393648440.0
52,0.0,3.5765351640293375e-05,309155440,8.934999999999999,8.5,17.2,393648440.0
53,0.0,3.980355177191086e-05,314669720,8.934999999999999,8.5,17.2,393648440.0
54,0.0,4.0897397411754355e-05,320184000,8.934999999999999,8.5,17.2,393648440.0
55,0.0,3.471687523415312e-05,325342520,8.934999999999999,8.5,17.2,393648440.0
56,0.0,4.205418736091815e-05,330501040,8.934999999999999,8.5,17.2,393648440.0
57,0.0,4.79596528748516e-05,335659560,8.934999999999999,8.5,17.2,393648440.0
58,0.0,5.3932133596390486e-05,340818080,8.934999999999999,8.5,17.2,393648440.0
59,0.0,5.443847112474032e-05,345976600,8.934999999999999,8.5,17.2,393648440.0
60,0.0,5.770599818788469e-05,350957240,8.934999999999999,8.5,17.2,393648440.0
61,0.0,5.63421162951272e-05,355937880,8.934999999999999,8.5,17.2,393648440.0
62,0.0,7.0655565650668e-05,360918520,8.934999999999999,8.5,17.2,393648440.0
63,0.0,8.747544779907912e-05,365899160,8.934999999999999,8.5,17.2,393648440.0
64,0.0,9.055583359440789e-05,370879800,8.934999999999999,8.5,17.2,393648440.0
65,0.0,6.751869659638032e-05,376571960,8.934999999999999,8.5,17.2,393648440.0
66,0.0,8.338200132129714e-05,382264120,8.934999999999999,8.5,17.2,393648440.0
67,0.0,9.091402898775414e-05,387956280,8.934999999999999,8.5,17.2,393648440.0
68,0.0,0.00011828149581560865,393648440,8.55,8.5,9.0,520387940.0
69,0.0,0.0001407818781444803,399340600,8.55,8.5,9.0,520387940.0
70,0.0,8.621904271421954e-05,404677000,8.55,8.5,9.0,520387940.0
71,0.0,7.40577670512721e-05,410013400,8.55,8.5,9.0,520387940.0
72,0.0,6.98338626534678e-05,415349800,8.55,8.5,9.0,520387940.0
73,0.0,7.908292900538072e-05,420686200,8.55,8.5,9.0,520387940.0
74,0.0,8.080443512881175e-05,426022600,8.55,8.5,9.0,520387940.0
75,0.0,7.7636337664444e-05,431625820,8.55,8.5,9.0,520387940.0
76,0.0,8.220440213335678e-05,437229040,8.55,8.5,9.0,520387940.0
77,0.0,9.656231122789904e-05,442832260,8.55,8.5,9.0,520387940.0
78,0.0,9.205486276187003e-05,448435480,8.55,8.5,9.0,520387940.0
79,0.0,9.963300544768572e-05,454038700,8.55,8.5,9.0,520387940.0
80,0.0,7.556696800747886e-05,459730860,8.55,8.5,9.0,520387940.0
81,0.0,7.955253386171535e-05,465423020,8.55,8.5,9.0,520387940.0
82,0.0,6.618940824409947e-05,471115180,8.55,8.5,9.0,520387940.0
83,0.0,6.440789002226666e-05,476807340,8.55,8.5,9.0,520387940.0
84,0.0,5.861622776137665e-05,482499500,8.55,8.5,9.0,520387940.0
85,0.0,4.989179069525562e-05,488013780,8.55,8.5,9.0,520387940.0
86,0.0,5.1681039622053504e-05,493528060,8.55,8.5,9.0,520387940.0
87,0.0,6.536149157909676e-05,499042340,8.55,8.5,9.0,520387940.0
88,0.0,6.180360651342198e-05,504556620,8.55,8.5,9.0,520387940.0
89,0.0,7.577175711048767e-05,510070900,8.55,8.5,9.0,520387940.0
90,0.0,7.547676068497822e-05,515229420,8.55,8.5,9.0,520387940.0
91,0.0,8.035387145355344e-05,520387940,16.255000000000003,8.6,17.7,654153700.0
92,0.0,9.845641761785373e-05,525546460,16.255000000000003,8.6,17.7,654153700.0
93,0.0,0.00011509895557537675,530704980,16.255000000000003,8.6,17.7,654153700.0
94,0.0,0.00013609651068691164,535863500,16.255000000000003,8.6,17.7,654153700.0
95,0.0,0.00011101859126938507,541377780,16.255000000000003,8.6,17.7,654153700.0
96,0.0,8.883432019501925e-05,546892060,16.255000000000003,8.6,17.7,654153700.0
97,0.0,9.039215365191922e-05,552406340,16.255000000000003,8.6,17.7,654153700.0
98,0.0,9.413684892933816e-05,557920620,16.255000000000003,8.6,17.7,654153700.0
99,0.0,0.00010780163574963808,563434900,16.255000000000003,8.6,17.7,654153700.0
100,0.0,0.00010215350630460307,569216000,16.255000000000003,8.6,17.7,654153700.0
101,0.0,0.00011527531751198694,574997100,16.255000000000003,8.6,17.7,654153700.0
102,0.0,0.0001520580699434504,580778200,16.255000000000003,8.6,17.7,654153700.0
103,0.0,0.00017544868751429021,586559300,16.255000000000003,8.6,17.7,654153700.0
104,0.0,0.00022563633683603257,592340400,16.255000000000003,8.6,17.7,654153700.0
105,0.0,0.00024550073430873454,598032560,16.255000000000003,8.6,17.7,654153700.0
106,0.0,0.00032839475898072124,603724720,16.255000000000003,8.6,17.7,654153700.0
107,0.0,0.00037657679058611393,609416880,16.255000000000003,8.6,17.7,654153700.0
108,0.0,0.0003857720585074276,615109040,16.255000000000003,8.6,17.7,654153700.0
109,0.0,0.0004695432726293802,620801200,16.255000000000003,8.6,17.7,654153700.0
110,0.0,0.0003769502218347043,627471700,16.255000000000003,8.6,17.7,654153700.0
111,0.0,0.00032641482539474964,634142200,16.255000000000003,8.6,17.7,654153700.0
112,0.0,0.0004337597347330302,640812700,16.255000000000003,8.6,17.7,654153700.0
113,0.0,0.00041909562423825264,647483200,16.255000000000003,8.6,17.7,654153700.0
114,0.0,0.0005335001042112708,654153700,23.315000000000005,17.299999999999997,27.6,791654940.0
115,0.0,0.00038216181565076113,660023740,23.315000000000005,17.299999999999997,27.6,791654940.0
116,0.0,0.0005508234607987106,665893780,23.315000000000005,17.299999999999997,27.6,791654940.0
