iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
0,0.0,4.684696674346924,10228100,10.56,8.5,15.0,235246300.0
1,0.0,1.5486550331115723,20456200,10.56,8.5,15.0,235246300.0
2,0.0,0.6805657744407654,30684300,10.56,8.5,15.0,235246300.0
3,0.0,0.32223352789878845,40912400,10.56,8.5,15.0,235246300.0
4,0.0,0.1592111438512802,51140500,10.56,8.5,15.0,235246300.0
5,0.0,0.08253680169582367,61368600,10.56,8.5,15.0,235246300.0
6,0.0,0.04487060010433197,71596700,10.56,8.5,15.0,235246300.0
7,0.0,0.0262437853962183,81824800,10.56,8.5,15.0,235246300.0
8,0.0,0.017016001045703888,92052900,10.56,8.5,15.0,235246300.0
9,0.0,0.012473925948143005,102281000,10.56,8.5,15.0,235246300.0
10,0.0,0.010123266838490963,112509100,10.56,8.5,15.0,235246300.0
11,0.0,0.008874500170350075,122737200,10.56,8.5,15.0,235246300.0
12,0.0,0.008374798111617565,132965300,10.56,8.5,15.0,235246300.0
13,0.0,0.007964332588016987,143193400,10.56,8.5,15.0,235246300.0
14,0.0,0.007762666326016188,153421500,10.56,8.5,15.0,235246300.0
15,0.0,0.007827790454030037,163649600,10.56,8.5,15.0,235246300.0
16,0.0,0.007830998860299587,173877700,10.56,8.5,15.0,235246300.0
17,0.0,0.008170596323907375,184105800,10.56,8.5,15.0,235246300.0
18,0.0,0.007984945550560951,194333900,10.56,8.5,15.0,235246300.0
19,0.0,0.008285516873002052,204562000,10.56,8.5,15.0,235246300.0
20,0.0,0.008341296575963497,214790100,10.56,8.5,15.0,235246300.0
21,0.0,0.008189719170331955,225018200,10.56,8.5,15.0,235246300.0
22,0.0,0.008631547912955284,235246300,10.08,8.5,12.6,470492600.0
23,0.0,0.008784424513578415,245474400,10.08,8.5,12.6,470492600.0
24,0.0,0.008972051553428173,255702500,10.08,8.5,12.6,470492600.0
25,0.0,0.009038048796355724,265930600,10.08,8.5,12.6,470492600.0
26,0.0,0.010034606792032719,276158700,10.08,8.5,12.6,470492600.0
27,0.0,0.010214676149189472,286386800,10.08,8.5,12.6,470492600.0
28,0.0,0.010742820799350739,296614900,10.08,8.5,12.6,470492600.0
29,0.0,0.01105409488081932,306843000,10.08,8.5,12.6,470492600.0
30,0.0,0.012204520404338837,317071100,10.08,8.5,12.6,470492600.0
31,0.0,0.013288288377225399,327299200,10.08,8.5,12.6,470492600.0
32,0.0,0.01556719746440649,337527300,10.08,8.5,12.6,470492600.0
33,0.0,0.01678605191409588,347755400,10.08,8.5,12.6,470492600.0
34,0.0,0.019581642001867294,357983500,10.08,8.5,12.6,470492600.0
35,0.0,0.023815467953681946,368211600,10.08,8.5,12.6,470492600.0
36,0.0,0.02957589365541935,378439700,10.08,8.5,12.6,470492600.0
37,0.0,0.039702095091342926,388667800,10.08,8.5,12.6,470492600.0
38,0.0,0.05214560776948929,398895900,10.08,8.5,12.6,470492600.0
39,0.0,0.07158439606428146,409124000,10.08,8.5,12.6,470492600.0
40,0.0,0.08932869881391525,419352100,10.08,8.5,12.6,470492600.0
41,0.0,0.10582416504621506,429580200,10.08,8.5,12.6,470492600.0
42,0.0,0.09480825066566467,439808300,10.08,8.5,12.6,470492600.0
43,0.0,0.10962076485157013,450036400,10.08,8.5,12.6,470492600.0
44,0.0,0.09634118527173996,460264500,10.08,8.5,12.6,470492600.0
45,0.0,0.1955547034740448,470492600,9.915000000000001,8.5,12.6,705738900.0
46,0.0,0.12702354788780212,480720700,9.915000000000001,8.5,12.6,705738900.0
47,0.0,0.18903237581253052,490948800,9.915000000000001,8.5,12.6,705738900.0
48,0.0,0.08782773464918137,501176900,9.915000000000001,8.5,12.6,705738900.0
49,0.0,0.15249671041965485,511405000,9.915000000000001,8.5,12.6,705738900.0
50,0.0,0.08591639250516891,521633100,9.915000000000001,8.5,12.6,705738900.0
51,0.0,0.15185867249965668,531861200,9.915000000000001,8.5,12.6,705738900.0
52,0.0,0.08978540450334549,542089300,9.915000000000001,8.5,12.6,705738900.0
53,0.0,0.18265067040920258,552317400,9.915000000000001,8.5,12.6,705738900.0
54,0.0,0.09379874169826508,562545500,9.915000000000001,8.5,12.6,705738900.0
55,0.0,0.16141436994075775,572773600,9.915000000000001,8.5,12.6,705738900.0
56,0.0,0.07301954180002213,583001700,9.915000000000001,8.5,12.6,705738900.0
57,0.0,0.15578749775886536,593229800,9.915000000000001,8.5,12.6,705738900.0
58,0.0,0.09291785210371017,603457900,9.915000000000001,8.5,12.6,705738900.0
59,0.0,0.18231479823589325,613686000,9.915000000000001,8.5,12.6,705738900.0
60,0.0,0.08549067378044128,623914100,9.915000000000001,8.5,12.6,705738900.0
61,0.0,0.15388306975364685,634142200,9.915000000000001,8.5,12.6,705738900.0
62,0.0,0.06766989082098007,644370300,9.915000000000001,8.5,12.6,705738900.0
63,0.0,0.16441543400287628,654598400,9.915000000000001,8.5,12.6,705738900.0
64,0.0,0.09825541079044342,664826500,9.915000000000001,8.5,12.6,705738900.0
65,0.0,0.19375824928283691,675054600,9.915000000000001,8.5,12.6,705738900.0
66,0.0,0.08720081299543381,685282700,9.915000000000001,8.5,12.6,705738900.0
67,0.0,0.15145830810070038,695510800,9.915000000000001,8.5,12.6,705738900.0
68,0.0,0.08413445204496384,705738900,10.27,8.5,12.8,940985200.0
69,0.0,0.1608974188566208,715967000,10.27,8.5,12.8,940985200.0
70,0.0,0.0964198037981987,726195100,10.27,8.5,12.8,940985200.0
71,0.0,0.1666496843099594,736423200,10.27,8.5,12.8,940985200.0
